# x	y	u	v	flags	mask
6.0938e-03	5.6250e-03	1.4831e+01	2.1606e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.6250e-03	1.4828e+01	2.1607e+01	1.0000e+00	0.0000e+00
6.5625e-03	5.6250e-03	1.4816e+01	2.1542e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.6250e-03	1.4837e+01	2.1565e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.6250e-03	1.4812e+01	2.1600e+01	0.0000e+00	0.0000e+00
7.2656e-03	5.6250e-03	1.4859e+01	2.1601e+01	1.0000e+00	0.0000e+00
2.3438e-04	5.3906e-03	4.4536e+01	2.1530e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.3906e-03	4.4639e+01	2.1477e+01	0.0000e+00	0.0000e+00
7.0313e-04	5.3906e-03	4.4562e+01	2.1591e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.3906e-03	4.4515e+01	2.1550e+01	1.0000e+00	0.0000e+00
1.1719e-03	5.3906e-03	4.4454e+01	2.1609e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.3906e-03	4.4535e+01	2.1572e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.3906e-03	4.4447e+01	2.1572e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.3906e-03	4.4414e+01	2.1585e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.3906e-03	4.4338e+01	2.1614e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.3906e-03	4.4145e+01	2.1410e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.3906e-03	4.3391e+01	2.1043e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.3906e-03	4.3523e+01	2.0324e+01	0.0000e+00	0.0000e+00
3.0469e-03	5.3906e-03	3.1846e+01	2.0776e+01	1.0000e+00	0.0000e+00
3.2813e-03	5.3906e-03	2.6386e+01	2.0775e+01	1.0000e+00	0.0000e+00
3.5156e-03	5.3906e-03	2.1294e+01	2.0945e+01	1.0000e+00	0.0000e+00
3.7500e-03	5.3906e-03	1.5361e+01	2.1135e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.3906e-03	1.5002e+01	2.1382e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.3906e-03	1.5144e+01	2.1469e+01	0.0000e+00	0.0000e+00
4.4531e-03	5.3906e-03	1.4913e+01	2.1585e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.3906e-03	1.4746e+01	2.1555e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.3906e-03	1.4879e+01	2.1550e+01	0.0000e+00	0.0000e+00
5.1563e-03	5.3906e-03	1.4782e+01	2.1582e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.3906e-03	1.4795e+01	2.1598e+01	1.0000e+00	0.0000e+00
5.6250e-03	5.3906e-03	1.4792e+01	2.1608e+01	1.0000e+00	0.0000e+00
5.8594e-03	5.3906e-03	1.4818e+01	2.1609e+01	1.0000e+00	0.0000e+00
6.0938e-03	5.3906e-03	1.4770e+01	2.1667e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.3906e-03	1.4967e+01	2.1583e+01	0.0000e+00	0.0000e+00
6.5625e-03	5.3906e-03	1.4846e+01	2.1604e+01	1.0000e+00	0.0000e+00
6.7969e-03	5.3906e-03	1.4826e+01	2.1593e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.3906e-03	1.4854e+01	2.1617e+01	0.0000e+00	0.0000e+00
7.2656e-03	5.3906e-03	1.4881e+01	2.1609e+01	1.0000e+00	0.0000e+00
2.3438e-04	5.1563e-03	4.4550e+01	2.1527e+01	1.0000e+00	0.0000e+00
4.6875e-04	5.1563e-03	4.4543e+01	2.1533e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.1563e-03	4.4575e+01	2.1523e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.1563e-03	4.4527e+01	2.1550e+01	1.0000e+00	0.0000e+00
1.1719e-03	5.1563e-03	4.4440e+01	2.1542e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.1563e-03	4.4487e+01	2.1578e+01	1.0000e+00	0.0000e+00
1.6406e-03	5.1563e-03	4.4544e+01	2.1572e+01	0.0000e+00	0.0000e+00
1.8750e-03	5.1563e-03	4.4406e+01	2.1559e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.1563e-03	4.4425e+01	2.1571e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.1563e-03	4.4255e+01	2.1372e+01	0.0000e+00	0.0000e+00
