# x	y	u	v	flags	mask
6.0938e-03	5.6250e-03	2.7566e+01	2.1501e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.6250e-03	2.7057e+01	2.1520e+01	0.0000e+00	0.0000e+00
6.5625e-03	5.6250e-03	2.6486e+01	2.1613e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.6250e-03	2.6116e+01	2.1433e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.6250e-03	2.6112e+01	2.1513e+01	1.0000e+00	0.0000e+00
7.2656e-03	5.6250e-03	2.5413e+01	2.1569e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.3906e-03	4.4559e+01	2.1385e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.3906e-03	4.4449e+01	2.1529e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.3906e-03	4.4448e+01	2.1536e+01	1.0000e+00	0.0000e+00
9.3750e-04	5.3906e-03	4.4486e+01	2.1563e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.3906e-03	4.4509e+01	2.1561e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.3906e-03	4.4413e+01	2.1595e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.3906e-03	4.4426e+01	2.1536e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.3906e-03	4.4393e+01	2.1507e+01	0.0000e+00	0.0000e+00
2.1094e-03	5.3906e-03	4.4352e+01	2.1477e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.3906e-03	4.4334e+01	2.1477e+01	0.0000e+00	0.0000e+00
2.5781e-03	5.3906e-03	4.4389e+01	2.1447e+01	0.0000e+00	0.0000e+00
2.8125e-03	5.3906e-03	4.3326e+01	2.1479e+01	1.0000e+00	0.0000e+00
3.0469e-03	5.3906e-03	4.3507e+01	2.1705e+01	0.0000e+00	0.0000e+00
3.2813e-03	5.3906e-03	4.1041e+01	2.1650e+01	0.0000e+00	0.0000e+00
3.5156e-03	5.3906e-03	3.8630e+01	2.1659e+01	0.0000e+00	0.0000e+00
3.7500e-03	5.3906e-03	3.6643e+01	2.1642e+01	0.0000e+00	0.0000e+00
3.9844e-03	5.3906e-03	3.5120e+01	2.1635e+01	0.0000e+00	0.0000e+00
4.2188e-03	5.3906e-03	3.4084e+01	2.1570e+01	1.0000e+00	0.0000e+00
4.4531e-03	5.3906e-03	3.2786e+01	2.1486e+01	0.0000e+00	0.0000e+00
4.6875e-03	5.3906e-03	3.1822e+01	2.1546e+01	0.0000e+00	0.0000e+00
4.9219e-03	5.3906e-03	3.1075e+01	2.1543e+01	1.0000e+00	0.0000e+00
5.1563e-03	5.3906e-03	3.0152e+01	2.1513e+01	0.0000e+00	0.0000e+00
5.3906e-03	5.3906e-03	2.9547e+01	2.1501e+01	1.0000e+00	0.0000e+00
5.6250e-03	5.3906e-03	2.8869e+01	2.1485e+01	1.0000e+00	0.0000e+00
5.8594e-03	5.3906e-03	2.8224e+01	2.1469e+01	1.0000e+00	0.0000e+00
6.0938e-03	5.3906e-03	2.7582e+01	2.1491e+01	0.0000e+00	0.0000e+00
6.3281e-03	5.3906e-03	2.7075e+01	2.1477e+01	1.0000e+00	0.0000e+00
6.5625e-03	5.3906e-03	2.6481e+01	2.1514e+01	0.0000e+00	0.0000e+00
6.7969e-03	5.3906e-03	2.6087e+01	2.1466e+01	0.0000e+00	0.0000e+00
7.0313e-03	5.3906e-03	2.5602e+01	2.1428e+01	0.0000e+00	0.0000e+00
7.2656e-03	5.3906e-03	2.5624e+01	2.1639e+01	0.0000e+00	0.0000e+00
2.3438e-04	5.1563e-03	4.4777e+01	2.1427e+01	0.0000e+00	0.0000e+00
4.6875e-04	5.1563e-03	4.4477e+01	2.1527e+01	1.0000e+00	0.0000e+00
7.0313e-04	5.1563e-03	4.4415e+01	2.1607e+01	0.0000e+00	0.0000e+00
9.3750e-04	5.1563e-03	4.4479e+01	2.1540e+01	0.0000e+00	0.0000e+00
1.1719e-03	5.1563e-03	4.4452e+01	2.1522e+01	0.0000e+00	0.0000e+00
1.4063e-03	5.1563e-03	4.4371e+01	2.1576e+01	0.0000e+00	0.0000e+00
1.6406e-03	5.1563e-03	4.4429e+01	2.1533e+01	1.0000e+00	0.0000e+00
1.8750e-03	5.1563e-03	4.4411e+01	2.1521e+01	1.0000e+00	0.0000e+00
2.1094e-03	5.1563e-03	4.4411e+01	2.1509e+01	0.0000e+00	0.0000e+00
2.3438e-03	5.1563e-03	4.4253e+01	2.1468e+01	0.0000e+00	0.0000e+00
